Rank,GermanName,EnglishName,Neighbourhood,Category,WikiLink,GMapsLink,FrontPictureName,BackPictureName,NCoordinate,ECoordinate,SmallDescription,Description
92,Zschokke Brunnen,,Vorstaedte,Fountain,,https://maps.app.goo.gl/fEHrmzgmDhbPgMXeA,card042.jpg,card542.jpg,47.55438217,7.594461263,,
93,Dreizackbrunnen - Spittelsprung-brunnen,,Altstadt Grossbasel,Fountain,,https://maps.app.goo.gl/kFgNs5f4hBSqNeKK7,card043.jpg,card543.jpg,47.55522611,7.591019875,,
94,Samson und Delila Brunnen,,Altstadt Grossbasel,Fountain,,https://maps.app.goo.gl/vqLazd7fvjqPD7Y8A,card044.jpg,card544.jpg,47.55499854,7.589536135,,
95,Wettstein-Brunnen,,Altstadt Kleinbasel,Fountain,,https://maps.app.goo.gl/HVez65HouExHVtW87,card045.jpg,card545.jpg,47.55854804,7.597589518,,
96,Spalenbrunnen,,Vorstaedte,Fountain,,https://maps.app.goo.gl/q46iWF8qbJfdJxM78,card046.jpg,card546.jpg,47.55727443,7.582862904,,
97,Basiliskenbrunnen am Rhein,,Altstadt Kleinbasel,Fountain,,https://maps.app.goo.gl/hZX6z3B5tggJMueD8,card047.jpg,card547.jpg,47.55894842,7.593185457,,
98,Stachelschuetzen Brunnen,,Vorstaedte,Fountain,,https://maps.app.goo.gl/GvKEZZNrGVEkTi6M8,card048.jpg,card548.jpg,47.55853775,7.582680577,,
99,Schoeneck Brunnen,,Vorstaedte,Fountain,,https://maps.app.goo.gl/Q1TLU2DkoM8V2rVz7,card049.jpg,card549.jpg,47.55455041,7.597390288,,
100,Frieden Brunnen,,Clara,Fountain,,https://maps.app.goo.gl/YZgTdtCB479S4YMG8,card050.jpg,card550.jpg,47.56143924,7.593704849,,
101,Pisoni-Brunnen,,Altstadt Grossbasel,Fountain,,https://maps.app.goo.gl/z1XmU491BDKijG8Q7,card051.jpg,card551.jpg,47.55660333,7.591657942,,
102,Rebhausbrunnen,,Altstadt Kleinbasel,Fountain,,https://maps.app.goo.gl/EdkaTMk1EkZUU6aWA,card052.jpg,card552.jpg,47.55912685,7.595595648,,
