GermanName,EnglishName,PictureName
Boot,Boat,category_pic01.jpg
Bruecke,Bridge,category_pic02.jpg
Gebaeude,Buildings,category_pic03.jpg
Kirsche,Church,category_pic04.jpg
,Culture Centre,category_pic05.jpg
Brunne,Fountain,category_pic06.jpg
,Monuments,category_pic07.jpg
Museen,Museum,category_pic08.jpg
Park,Park,category_pic09.jpg
Bahnhof,Stations,category_pic10.jpg
